head_index,certificate_type,target_sparsity,valid_tiles,naive_mismatch_rate,false_drop_rate,false_keep_rate,oracle_crossing_rate,actual_refinement_rate,analytic_refinement_rate,certimask_match_rate,rho_p90,rho_max
0,actual,0.85,136,0.11029411764705882,0.04411764705882353,0.0661764705882353,0.08823529411764706,1.0,1.0,1.0,0.07920210063457489,0.12180455774068832
0,analytic,0.85,136,0.11029411764705882,0.04411764705882353,0.0661764705882353,0.08823529411764706,1.0,1.0,1.0,0.04175037518143654,0.062995545566082
1,actual,0.85,136,0.04411764705882353,0.007352941176470588,0.03676470588235294,0.022058823529411766,0.8161764705882353,0.8161764705882353,1.0,0.12693674862384796,0.25314274430274963
1,analytic,0.85,136,0.04411764705882353,0.007352941176470588,0.03676470588235294,0.022058823529411766,1.0,1.0,1.0,0.06699196994304657,0.13015586137771606
2,actual,0.85,136,0.2426470588235294,0.029411764705882353,0.21323529411764705,0.19117647058823528,1.0,1.0,1.0,0.09500379115343094,0.15737339854240417
2,analytic,0.85,136,0.2426470588235294,0.029411764705882353,0.21323529411764705,0.19117647058823528,1.0,1.0,1.0,0.04708137363195419,0.07643243670463562
3,actual,0.85,136,0.08823529411764706,0.058823529411764705,0.029411764705882353,0.0661764705882353,1.0,1.0,1.0,0.11663426458835602,0.15681032836437225
3,analytic,0.85,136,0.08823529411764706,0.058823529411764705,0.029411764705882353,0.0661764705882353,1.0,1.0,1.0,0.05907600745558739,0.08148178458213806
4,actual,0.85,136,0.09558823529411764,0.007352941176470588,0.08823529411764706,0.03676470588235294,0.9044117647058824,0.9044117647058824,1.0,0.10460902750492096,0.1800311654806137
4,analytic,0.85,136,0.09558823529411764,0.007352941176470588,0.08823529411764706,0.03676470588235294,1.0,1.0,1.0,0.05583081394433975,0.09578868001699448
5,actual,0.85,136,0.07352941176470588,0.022058823529411766,0.051470588235294115,0.029411764705882353,0.7352941176470589,0.7352941176470589,1.0,0.13163341581821442,0.26503539085388184
5,analytic,0.85,136,0.07352941176470588,0.022058823529411766,0.051470588235294115,0.029411764705882353,0.9926470588235294,0.9926470588235294,1.0,0.07131421566009521,0.1271561235189438
6,actual,0.85,136,0.34558823529411764,0.03676470588235294,0.3088235294117647,0.2867647058823529,1.0,1.0,1.0,0.15113699436187744,0.19818226993083954
6,analytic,0.85,136,0.34558823529411764,0.03676470588235294,0.3088235294117647,0.2867647058823529,1.0,1.0,1.0,0.08127549290657043,0.10329876840114594
7,actual,0.85,136,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,1.0,1.0,1.0,0.20233586430549622,0.2711304724216461
7,analytic,0.85,136,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,1.0,1.0,1.0,0.11252858489751816,0.15127693116664886
8,actual,0.85,136,0.4117647058823529,0.029411764705882353,0.38235294117647056,0.33088235294117646,1.0,1.0,1.0,0.07856753468513489,0.12622851133346558
8,analytic,0.85,136,0.4117647058823529,0.029411764705882353,0.38235294117647056,0.33088235294117646,1.0,1.0,1.0,0.04091090336441994,0.06557177752256393
9,actual,0.85,136,0.125,0.022058823529411766,0.10294117647058823,0.08088235294117647,1.0,1.0,1.0,0.1271427571773529,0.19216084480285645
9,analytic,0.85,136,0.125,0.022058823529411766,0.10294117647058823,0.08088235294117647,1.0,1.0,1.0,0.0714292824268341,0.1146080270409584
10,actual,0.85,136,0.11029411764705882,0.08088235294117647,0.029411764705882353,0.10294117647058823,1.0,1.0,1.0,0.16833628714084625,0.191111221909523
10,analytic,0.85,136,0.11029411764705882,0.08088235294117647,0.029411764705882353,0.10294117647058823,1.0,1.0,1.0,0.08967624604701996,0.09944143146276474
11,actual,0.85,136,0.09558823529411764,0.07352941176470588,0.022058823529411766,0.08823529411764706,1.0,1.0,1.0,0.1527879536151886,0.22373001277446747
11,analytic,0.85,136,0.09558823529411764,0.07352941176470588,0.022058823529411766,0.08823529411764706,1.0,1.0,1.0,0.08645017445087433,0.12210328131914139
12,actual,0.85,136,0.13970588235294118,0.0661764705882353,0.07352941176470588,0.11029411764705882,1.0,1.0,1.0,0.14185205101966858,0.2042352259159088
12,analytic,0.85,136,0.13970588235294118,0.0661764705882353,0.07352941176470588,0.11029411764705882,1.0,1.0,1.0,0.07863001525402069,0.10763294249773026
13,actual,0.85,136,0.19852941176470587,0.014705882352941176,0.18382352941176472,0.13970588235294118,1.0,1.0,1.0,0.09251720458269119,0.13428844511508942
13,analytic,0.85,136,0.19852941176470587,0.014705882352941176,0.18382352941176472,0.13970588235294118,1.0,1.0,1.0,0.05129776522517204,0.07941083610057831
