layer,baseline_refinement_rate,best_strategy,best_refinement_rate,best_naive_mismatch_rate,decision,improved
2,0.4210508241758242,k_only_per_group_g4_coordinate_analytic,0.08705357142857142,0.01771978021978022,Go,True
3,0.28197115384615384,k_only_per_group_g4_coordinate_analytic,0.06559065934065934,0.01514423076923077,Go,True
4,0.35120192307692305,k_only_per_group_g4_coordinate_analytic,0.06981456043956044,0.017788461538461538,Go,True
5,0.4434065934065934,k_only_per_group_g4_coordinate_analytic,0.07348901098901099,0.017925824175824175,Go,True
6,0.2679945054945055,k_only_per_group_g4_coordinate_analytic,0.06050824175824176,0.01720467032967033,Go,True
7,0.21377060439560439,k_only_per_group_g4_coordinate_analytic,0.05188873626373627,0.01507554945054945,Go,True
9,0.2830357142857143,k_only_per_group_g4_coordinate_analytic,0.06153846153846154,0.017445054945054946,Go,True
10,0.3483173076923077,k_only_per_group_g4_coordinate_analytic,0.07074175824175824,0.018543956043956044,Go,True
11,0.22417582417582418,k_only_per_group_g4_coordinate_analytic,0.057348901098901096,0.016380494505494506,Go,True
13,0.2251717032967033,k_only_per_group_g4_coordinate_analytic,0.05473901098901099,0.019505494505494506,Go,True
14,0.24031593406593407,k_only_per_group_g4_coordinate_analytic,0.05710851648351648,0.01864697802197802,Go,True
15,0.22249313186813185,k_only_per_group_g4_coordinate_analytic,0.05580357142857143,0.01607142857142857,Go,True
16,0.2130837912087912,k_only_per_group_g4_coordinate_analytic,0.054017857142857145,0.014457417582417583,Go,True
17,0.2470467032967033,k_only_per_group_g4_coordinate_analytic,0.06390796703296703,0.014869505494505494,Go,True
18,0.2622596153846154,k_only_per_group_g4_coordinate_analytic,0.0564217032967033,0.018131868131868133,Go,True
19,0.25350274725274724,k_only_per_group_g4_coordinate_analytic,0.05525412087912088,0.015418956043956045,Go,True
20,0.28650412087912086,k_only_per_group_g4_coordinate_analytic,0.06881868131868132,0.01936813186813187,Go,True
21,0.21414835164835164,k_only_per_group_g4_coordinate_analytic,0.0674793956043956,0.016449175824175825,Go,True
