layer_index,valid_tiles,actual_sparsity,naive_mismatch_rate,false_drop_rate,false_keep_rate,global_analytic_refinement_rate,coordinate_analytic_refinement_rate,certimask_exact_match_rate,score_std,abs_score_p50,abs_score_p90,abs_score_p99,bound_p50,bound_p90,bound_p99,margin_p50,margin_p90,error_to_margin_p90,refinement_reduction_vs_global,decision,score_quantization_unstable
0,29120,0.8658653846153846,0.18962912087912087,0.03245192307692308,0.1571771978021978,0.9846497252747253,0.9350961538461539,1.0,214.5881805419922,149.7937774658203,496.2427673339844,960.52783203125,31.162004470825195,38.16823196411133,70.60145568847656,2.5184478759765625,14.010008811950684,9.4103364944458,0.04955357142857142,FP16 fallback,True
1,29120,0.8658653846153846,0.06583104395604396,0.006833791208791209,0.058997252747252746,0.7052884615384616,0.5723557692307693,1.0,121.2702865600586,16.296602249145508,310.09393310546875,356.382568359375,2.473912239074707,8.047649383544922,8.910481452941895,1.5786961317062378,4.466145992279053,1.1120556592941284,0.13293269230769234,FP16 fallback,False
2,29120,0.8658653846153846,0.025274725274725275,0.006009615384615385,0.01926510989010989,0.6971153846153846,0.4210508241758242,1.0,12.471944808959961,20.801536560058594,44.86406707763672,50.9694938659668,1.6919324398040771,2.278177261352539,2.4584155082702637,1.9935016632080078,4.726060390472412,0.36945125460624695,0.2760645604395604,FP16 fallback,False
3,29120,0.8658653846153846,0.02287087912087912,0.003228021978021978,0.019642857142857142,0.454739010989011,0.28197115384615384,1.0,11.93785285949707,11.831640243530273,16.335033416748047,19.96959686279297,0.9817006587982178,1.1369259357452393,1.3852044343948364,1.8515379428863525,5.142470836639404,0.22610576450824738,0.17276785714285714,Conditional Go,False
4,29120,0.8658653846153846,0.025789835164835163,0.003502747252747253,0.022287087912087913,0.6308035714285715,0.35120192307692305,1.0,9.922460556030273,9.236227035522461,14.804672241210938,17.891225814819336,1.1152639389038086,1.3091316223144531,1.4809578657150269,1.5096888542175293,4.532556533813477,0.31171807646751404,0.2796016483516484,FP16 fallback,False
5,29120,0.8658653846153846,0.02956730769230769,0.0057692307692307696,0.023798076923076922,0.6952953296703297,0.4434065934065934,1.0,2.479304313659668,6.955861568450928,10.77685260772705,14.244711875915527,0.9566721320152283,1.1387220621109009,1.2499752044677734,1.056948184967041,2.8605825901031494,0.4053846299648285,0.2518887362637363,FP16 fallback,False
6,29120,0.8658653846153846,0.024210164835164836,0.003228021978021978,0.020982142857142855,0.43155906593406596,0.2679945054945055,1.0,6.13985538482666,5.614675521850586,10.452925682067871,14.467829704284668,0.6114150285720825,0.8403463959693909,0.9860042333602905,1.1954619884490967,3.9532246589660645,0.22254741191864014,0.16356456043956047,Conditional Go,False
7,29120,0.8658653846153846,0.022596153846153846,0.0031593406593406594,0.019436813186813187,0.38461538461538464,0.21377060439560439,1.0,3.7327864170074463,11.346251487731934,16.02557373046875,20.222137451171875,1.1791231632232666,1.396682620048523,1.5490003824234009,2.759549617767334,6.101654052734375,0.18111339211463928,0.17084478021978025,Conditional Go,False
8,29120,0.8658653846153846,0.06304945054945055,0.007657967032967033,0.055391483516483514,0.6461881868131868,0.5875343406593406,1.0,36.72123336791992,8.82469654083252,36.191680908203125,203.7589874267578,3.3610587120056152,10.476587295532227,29.399518966674805,2.4255237579345703,5.997330665588379,1.2918692827224731,0.05865384615384617,FP16 fallback,False
9,29120,0.8658653846153846,0.025412087912087912,0.004910714285714286,0.020501373626373626,0.49457417582417584,0.2830357142857143,1.0,9.03357219696045,8.846138000488281,27.93072509765625,37.98969650268555,1.324365258216858,1.6063114404678345,1.7600104808807373,2.247312545776367,6.923750877380371,0.2504190504550934,0.21153846153846156,Conditional Go,False
10,29120,0.8658653846153846,0.029532967032967032,0.0052197802197802195,0.024313186813186814,0.5497596153846154,0.3483173076923077,1.0,3.431797981262207,6.685447692871094,12.756200790405273,17.45223045349121,1.0864648818969727,1.3271307945251465,1.4627907276153564,1.5899662971496582,4.412552356719971,0.33126771450042725,0.2014423076923077,FP16 fallback,False
11,29120,0.8658653846153846,0.021222527472527473,0.0031593406593406594,0.01806318681318681,0.3521291208791209,0.22417582417582418,1.0,9.015186309814453,8.971216201782227,28.19196128845215,35.21619415283203,1.0297808647155762,1.763994574546814,2.1293108463287354,2.5254313945770264,7.902403354644775,0.17373812198638916,0.12795329670329672,Conditional Go,False
12,29120,0.8658653846153846,0.021222527472527473,0.001820054945054945,0.019402472527472528,0.2824519230769231,0.19309752747252748,1.0,3.881010055541992,2.854621171951294,8.000948905944824,12.488449096679688,0.7963299751281738,1.0435383319854736,1.2208062410354614,2.1752376556396484,5.055798053741455,0.14417003095149994,0.08935439560439559,Go,False
13,29120,0.8658653846153846,0.020913461538461537,0.0023695054945054943,0.018543956043956044,0.3335851648351648,0.2251717032967033,1.0,2.7513840198516846,3.735743284225464,7.268184185028076,10.270987510681152,1.0193908214569092,1.2462795972824097,1.3862227201461792,2.427175283432007,5.487228870391846,0.16747865080833435,0.10841346153846151,Conditional Go,False
14,29120,0.8658653846153846,0.021737637362637362,0.0029876373626373624,0.01875,0.36929945054945057,0.24031593406593407,1.0,3.3421545028686523,4.982939720153809,9.87106990814209,13.568314552307129,0.9635108709335327,1.1736764907836914,1.29808509349823,2.075178623199463,4.638894557952881,0.187480628490448,0.1289835164835165,Conditional Go,False
15,29120,0.8658653846153846,0.021462912087912088,0.003125,0.01833791208791209,0.3553228021978022,0.22249313186813185,1.0,4.5589447021484375,6.532193183898926,13.18535327911377,23.77900505065918,0.9178136587142944,1.3485904932022095,1.754798173904419,2.2865915298461914,5.7972540855407715,0.195282980799675,0.13282967032967036,Conditional Go,False
16,29120,0.8658653846153846,0.02135989010989011,0.0023695054945054943,0.018990384615384614,0.3074519230769231,0.2130837912087912,1.0,4.48232364654541,5.8543243408203125,11.296887397766113,18.954235076904297,1.415951132774353,2.001009464263916,2.5278775691986084,3.3096370697021484,9.007569313049316,0.15118949115276337,0.0943681318681319,Conditional Go,False
17,29120,0.8658653846153846,0.0229739010989011,0.003331043956043956,0.019642857142857142,0.39453983516483515,0.2470467032967033,1.0,2.5547749996185303,7.648617744445801,11.268805503845215,14.573529243469238,0.8241480588912964,1.0889580249786377,1.1495481729507446,1.7227976322174072,3.8841564655303955,0.22155985236167908,0.14749313186813184,Conditional Go,False
18,29120,0.8658653846153846,0.022596153846153846,0.003399725274725275,0.019196428571428573,0.4394230769230769,0.2622596153846154,1.0,2.9920973777770996,7.138321876525879,10.917153358459473,16.316442489624023,0.9010603427886963,1.0926434993743896,1.3260239362716675,1.751887559890747,3.7289609909057617,0.221222385764122,0.17716346153846152,Conditional Go,False
19,29120,0.8658653846153846,0.02506868131868132,0.004292582417582418,0.0207760989010989,0.4279532967032967,0.25350274725274724,1.0,3.432101249694824,8.381492614746094,13.166738510131836,17.803043365478516,1.1376440525054932,1.3719127178192139,1.571752905845642,2.287135124206543,5.154430866241455,0.2302662432193756,0.17445054945054944,Conditional Go,False
20,29120,0.8658653846153846,0.023935439560439562,0.003125,0.02081043956043956,0.46050824175824173,0.28650412087912086,1.0,1.9405713081359863,6.4545369148254395,8.920157432556152,11.34421157836914,0.7630023956298828,0.9133161306381226,1.1321063041687012,1.3949625492095947,3.279345989227295,0.2365492433309555,0.17400412087912087,Conditional Go,False
21,29120,0.8658653846153846,0.021016483516483518,0.003331043956043956,0.01768543956043956,0.31548763736263735,0.21414835164835164,1.0,1.86210036277771,6.807015419006348,9.243978500366211,10.817341804504395,0.6625350117683411,0.8886955976486206,1.020508885383606,1.7475883960723877,3.8035836219787598,0.17083001136779785,0.10133928571428572,Conditional Go,False
22,29120,0.8658653846153846,0.01929945054945055,0.0018543956043956043,0.017445054945054946,0.22232142857142856,0.15669642857142857,1.0,2.457568645477295,3.281890869140625,6.7498393058776855,8.899162292480469,0.3694753050804138,0.4732113778591156,0.5476584434509277,1.415930986404419,3.17822003364563,0.11173974722623825,0.06562499999999999,Go,False
23,29120,0.8658653846153846,0.019539835164835165,0.001820054945054945,0.01771978021978022,0.27098214285714284,0.18684752747252747,1.0,3.855163812637329,2.610809326171875,7.0159382820129395,10.601471900939941,0.373623251914978,0.7738853693008423,1.3930631875991821,1.3829727172851562,3.343554973602295,0.13741348683834076,0.08413461538461536,Go,False
