mask_type,target_sparsity,mean_kept_mass,mean_cosine,mean_l2_rel,mean_work_frac,mean_oracle_gap,quality_pass_count
adaptive_hybrid_m0.90,0.4,0.8423283845186234,0.969423696398735,0.20197366550564766,0.5781757305194806,0.08926062285900116,0
adaptive_hybrid_m0.90,0.5,0.8423283845186234,0.969423696398735,0.20197366550564766,0.5781757305194806,0.04242385923862457,0
adaptive_hybrid_m0.90,0.6,0.8423283845186234,0.969423696398735,0.20197366550564766,0.5781757305194806,0.002718314528465271,0
adaptive_hybrid_m0.95,0.4,0.8433833196759224,0.9696231633424759,0.20096798986196518,0.5813717532467533,0.08820568770170212,0
adaptive_hybrid_m0.95,0.5,0.8433833196759224,0.9696231633424759,0.20096798986196518,0.5813717532467533,0.04136892408132553,0
adaptive_hybrid_m0.95,0.6,0.8433833196759224,0.9696231633424759,0.20096798986196518,0.5813717532467533,0.0016633793711662292,0
antidiagonal_only,0.4,0.9091955870389938,0.9881177395582199,0.10275940224528313,0.6268939393939394,0.022393420338630676,0
antidiagonal_only,0.5,0.8484134003520012,0.9737114310264587,0.17394001875072718,0.5151515151515151,0.036338843405246735,0
antidiagonal_only,0.6,0.8004360347986221,0.9638178646564484,0.22739718109369278,0.42424242424242425,0.04461066424846649,0
dense,0.4,1.0,1.0,0.0,1.0,-0.06841099262237549,0
dense,0.5,1.0,1.0,0.0,1.0,-0.11524775624275208,0
dense,0.6,1.0,1.0,0.0,1.0,-0.15495330095291138,0
hybrid,0.4,0.8812597580254078,0.979263267169396,0.15000209926317135,0.6268939393939394,0.05032924935221672,0
hybrid,0.5,0.8144312587877115,0.9640339389443398,0.2370796361938119,0.5170454545454546,0.07032098496953647,0
hybrid,0.6,0.754577257980903,0.9503006798525652,0.3109215625251333,0.4261363636363636,0.09046944106618564,0
landmark_only,0.4,0.8506999313831329,0.9775842130184174,0.20482119172811508,0.6268939393939394,0.08088907599449158,0
landmark_only,0.5,0.7698784470558167,0.9557420313358307,0.3225981891155243,0.5151515151515151,0.11487379670143127,0
landmark_only,0.6,0.7174185514450073,0.9445841610431671,0.3906732499599457,0.42424242424242425,0.1276281476020813,0
mean_pooled_score,0.4,0.7692257463932037,0.9360805749893188,0.3154163211584091,0.5643939393939394,0.16236326098442078,0
mean_pooled_score,0.5,0.6922296583652496,0.8944202363491058,0.4060995280742645,0.45454545454545453,0.1925225853919983,0
mean_pooled_score,0.6,0.637225866317749,0.8798527419567108,0.48223650455474854,0.36363636363636365,0.2078208327293396,0
oracle_block_mass,0.4,0.9315890073776245,0.9938929975032806,0.07481841370463371,0.6268939393939394,0.06841099262237549,0
oracle_block_mass,0.5,0.8847522437572479,0.9850250780582428,0.12494318559765816,0.5151515151515151,0.11524775624275208,0
oracle_block_mass,0.6,0.8450466990470886,0.9784797132015228,0.16547327116131783,0.42424242424242425,0.15495330095291138,0
random,0.4,0.5806691646575928,0.8451619148254395,0.4629756659269333,0.5964556277056277,0.35091984272003174,0
random,0.5,0.4796692728996277,0.7948914468288422,0.5648279190063477,0.4952651515151515,0.40508297085762024,0
random,0.6,0.38289813697338104,0.7293476164340973,0.671579897403717,0.39745670995670995,0.4621485620737076,0
