layer,decision,selected_mask_type,selected_target_sparsity,selected_work_fraction,selected_kept_mass,selected_cosine,selected_l2,strict_quality_pass,practical_quality_pass,strong_quality_pass,fallback_reason
0,conditional,aglr_antidiagonal_topk_mean,0.5,0.5081730769230769,0.8718318343162537,0.9891737103462219,0.06524097919464111,False,False,False,
1,conditional,aglr_antidiagonal_topk_mean,0.5,0.5081730769230769,0.8644159436225891,0.9943894743919373,0.07334303855895996,False,False,False,
2,conditional,aglr_antidiagonal_topk_mean,0.5,0.5081730769230769,0.881289541721344,0.9884529709815979,0.1276053935289383,False,False,False,
3,go,aglr_antidiagonal_logsumexp,0.5,0.5081730769230769,0.9241671562194824,0.976447582244873,0.17156793177127838,False,True,False,
4,conditional,aglr_antidiagonal_logsumexp,0.5,0.5081730769230769,0.8722668886184692,0.9820934534072876,0.1326635330915451,False,False,False,
5,conditional,aglr_antidiagonal_logsumexp,0.5,0.5081730769230769,0.8740293383598328,0.9769056439399719,0.17847588658332825,False,False,False,
8,go,aglr_antidiagonal_logsumexp,0.6,0.4129807692307692,0.9220131039619446,0.9925607442855835,0.07462101429700851,True,True,False,
12,go,aglr_antidiagonal_logsumexp,0.5,0.5081730769230769,0.9255383610725403,0.9922036528587341,0.08214819431304932,False,True,False,
13,go,aglr_antidiagonal_logsumexp,0.6,0.4129807692307692,0.9084228873252869,0.9757221341133118,0.15432466566562653,True,True,False,
16,fallback,aglr_antidiagonal_topk_mean,0.3,0.7139423076923077,0.9969425797462463,0.998458981513977,0.013750150799751282,False,False,False,no_practical_or_conditional_pass
20,go,aglr_antidiagonal_logsumexp,0.5,0.5081730769230769,0.9032726287841797,0.9896283149719238,0.10944163054227829,False,True,False,
22,fallback,aglr_antidiagonal_topk_mean,0.3,0.7139423076923077,0.9102403521537781,0.9873061776161194,0.12113821506500244,False,False,False,no_practical_or_conditional_pass
23,fallback,aglr_antidiagonal_topk_mean,0.3,0.7139423076923077,0.9281536936759949,0.9950488209724426,0.073577381670475,False,False,False,no_practical_or_conditional_pass
