layer,oracle_mass,oracle_l2,mean_pooled_mass,mean_pooled_l2,selected_mass,selected_l2,oracle_gap_mass,oracle_gap_l2,improvement_over_mp_mass,improvement_over_mp_l2
0,0.9713173508644104,0.01604410819709301,0.9399592876434326,0.14949588477611542,0.8827803730964661,0.06168759614229202,0.08853697776794434,0.04564348794519901,-0.05717891454696655,0.0878082886338234
1,0.9533246159553528,0.02570624090731144,0.9239247441291809,0.18390986323356628,0.8645952939987183,0.0756295844912529,0.08872932195663452,0.04992334358394146,-0.059329450130462646,0.10828027874231339
2,0.9853613376617432,0.02095499075949192,0.941362202167511,0.3128359019756317,0.9038046002388,0.10396640002727509,0.08155673742294312,0.08301140926778316,-0.03755760192871094,0.20886950194835663
3,0.9908782243728638,0.018122732639312744,0.9417604207992554,0.8560953736305237,0.9031709432601929,0.16488774120807648,0.0877072811126709,0.14676500856876373,-0.0385894775390625,0.6912076324224472
4,0.9701526165008545,0.029967065900564194,0.9338183403015137,0.5398086309432983,0.9069440364837646,0.09060822427272797,0.06320858001708984,0.06064115837216377,-0.026874303817749023,0.4492004066705704
5,0.9690113663673401,0.039275579154491425,0.9368100166320801,0.5930041074752808,0.9113957285881042,0.1120496615767479,0.05761563777923584,0.07277408242225647,-0.02541428804397583,0.48095444589853287
6,0.9683815240859985,0.039082903414964676,0.9339011311531067,0.4824247658252716,0.9180209040641785,0.10248352587223053,0.05036062002182007,0.06340062245726585,-0.015880227088928223,0.3799412399530411
7,0.9940292239189148,0.007126429583877325,0.946269690990448,0.9170851707458496,0.9485317468643188,0.08468137681484222,0.04549747705459595,0.0775549472309649,0.0022620558738708496,0.8324037939310074
8,0.9911196827888489,0.008156663738191128,0.9578505158424377,0.27868473529815674,0.9032596349716187,0.09436188638210297,0.08786004781723022,0.08620522264391184,-0.05459088087081909,0.18432284891605377
9,0.9896029233932495,0.013749411329627037,0.9505037069320679,0.5855776071548462,0.9106422662734985,0.12167631089687347,0.07896065711975098,0.10792689956724644,-0.039861440658569336,0.4639012962579727
10,0.9736698269844055,0.029798241332173347,0.9347827434539795,0.5085193514823914,0.9254233241081238,0.08291970193386078,0.04824650287628174,0.05312146060168743,-0.009359419345855713,0.4255996495485306
11,0.9894388318061829,0.01354386005550623,0.9600313901901245,0.6339418292045593,0.9177213907241821,0.1192019134759903,0.07171744108200073,0.10565805342048407,-0.04230999946594238,0.514739915728569
12,0.9838753342628479,0.01915787160396576,0.9345303177833557,0.46390533447265625,0.9134626984596252,0.08670450001955032,0.07041263580322266,0.06754662841558456,-0.02106761932373047,0.3772008344531059
13,0.9935539364814758,0.010009748861193657,0.9407854080200195,0.49061504006385803,0.9118183851242065,0.10306212306022644,0.08173555135726929,0.09305237419903278,-0.02896702289581299,0.3875529170036316
14,0.9877403378486633,0.01644165813922882,0.9585097432136536,0.47902506589889526,0.90349280834198,0.11391756683588028,0.08424752950668335,0.09747590869665146,-0.055016934871673584,0.365107499063015
15,0.9890698194503784,0.017098190262913704,0.9547831416130066,0.4318743646144867,0.9132686853408813,0.10475131124258041,0.07580113410949707,0.08765312097966671,-0.041514456272125244,0.3271230533719063
16,0.9980008602142334,0.009659351781010628,0.9704437851905823,2.068617820739746,0.9761040210723877,0.07706525176763535,0.021896839141845703,0.06740589998662472,0.00566023588180542,1.9915525689721107
17,0.9870111346244812,0.01529373973608017,0.9226139783859253,0.9388272166252136,0.917232096195221,0.1027602031826973,0.06977903842926025,0.08746646344661713,-0.005381882190704346,0.8360670134425163
18,0.9901304841041565,0.02311551757156849,0.959250271320343,0.776465117931366,0.9084988832473755,0.19615603983402252,0.081631600856781,0.17304052226245403,-0.05075138807296753,0.5803090780973434
19,0.99333256483078,0.009716612286865711,0.9329481720924377,0.6857801675796509,0.9245670437812805,0.10032565146684647,0.06876552104949951,0.09060903917998075,-0.008381128311157227,0.5854545161128044
20,0.9831818342208862,0.017880452796816826,0.9480047821998596,0.3739111125469208,0.9090391397476196,0.09062763303518295,0.0741426944732666,0.07274718023836613,-0.03896564245223999,0.2832834795117378
21,0.9873930215835571,0.016379771754145622,0.9504912495613098,0.4966086149215698,0.9062140583992004,0.11174461245536804,0.08117896318435669,0.09536484070122242,-0.044277191162109375,0.3848640024662018
22,0.9507322907447815,0.06495252996683121,0.8856613636016846,0.6562541723251343,0.9343019723892212,0.08909597247838974,0.016430318355560303,0.024143442511558533,0.04864060878753662,0.5671581998467445
23,0.959058403968811,0.04195389524102211,0.9095584750175476,0.4309898316860199,0.857486367225647,0.14134418964385986,0.10157203674316406,0.09939029440283775,-0.052072107791900635,0.28964564204216003
