layer,decision,selected_block_size,selected_target_sparsity,selected_local_blocks,selected_aggregation,selected_work_fraction,selected_kept_mass,selected_cosine,selected_l2,strict_pass,practical_pass,relaxed_pass,quality_only_pass,fallback_reason
0,conditional_relaxed,8,0.5,0,logsumexp,0.5038759689922481,0.8827803730964661,0.9910002946853638,0.06168759614229202,False,False,True,False,
1,conditional_relaxed,8,0.5,0,logsumexp,0.5038759689922481,0.8645952939987183,0.9933867454528809,0.0756295844912529,False,False,True,False,
2,go_practical,8,0.5,2,topk_mean,0.5039970930232558,0.9038046002388,0.990699291229248,0.10396640002727509,False,True,True,True,
3,go_strict,8,0.75,0,logsumexp,0.2558139534883721,0.9031709432601929,0.9714940786361694,0.16488774120807648,True,True,True,True,
4,go_practical,8,0.5,0,logsumexp,0.5038759689922481,0.9069440364837646,0.9887160062789917,0.09060822427272797,False,True,True,True,
5,go_practical,8,0.5,0,logsumexp,0.5038759689922481,0.9113957285881042,0.9884053468704224,0.1120496615767479,False,True,True,True,
6,go_practical,8,0.5,0,logsumexp,0.5038759689922481,0.9180209040641785,0.9866564273834229,0.10248352587223053,False,True,True,True,
7,go_strict,8,0.75,0,logsumexp,0.2558139534883721,0.9485317468643188,0.9807818531990051,0.08468137681484222,True,True,True,True,
8,go_strict,8,0.75,0,logsumexp,0.2558139534883721,0.9032596349716187,0.9813488721847534,0.09436188638210297,True,True,True,True,
9,go_strict,8,0.75,0,logsumexp,0.2558139534883721,0.9106422662734985,0.9732986688613892,0.12167631089687347,True,True,True,True,
10,go_practical,8,0.5,0,logsumexp,0.5038759689922481,0.9254233241081238,0.9916620850563049,0.08291970193386078,False,True,True,True,
11,go_strict,8,0.7,0,logsumexp,0.3074127906976744,0.9177213907241821,0.9838354587554932,0.1192019134759903,True,True,True,True,
12,go_strict,8,0.65,0,logsumexp,0.35743701550387597,0.9134626984596252,0.9900107383728027,0.08670450001955032,True,True,True,True,
13,go_strict,8,0.75,0,logsumexp,0.2558139534883721,0.9118183851242065,0.9824736714363098,0.10306212306022644,True,True,True,True,
14,go_strict,8,0.7,0,logsumexp,0.3074127906976744,0.90349280834198,0.9872484803199768,0.11391756683588028,True,True,True,True,
15,go_strict,8,0.7,0,logsumexp,0.3074127906976744,0.9132686853408813,0.9852111339569092,0.10475131124258041,True,True,True,True,
16,go_strict,8,0.75,0,logsumexp,0.2558139534883721,0.9761040210723877,0.9820883870124817,0.07706525176763535,True,True,True,True,
17,go_strict,8,0.7,0,logsumexp,0.3074127906976744,0.917232096195221,0.9850073456764221,0.1027602031826973,True,True,True,True,
18,go_strict,8,0.75,0,logsumexp,0.2558139534883721,0.9084988832473755,0.9634601473808289,0.19615603983402252,True,True,True,True,
19,go_strict,8,0.75,0,logsumexp,0.2558139534883721,0.9245670437812805,0.9850088357925415,0.10032565146684647,True,True,True,True,
20,go_strict,8,0.65,0,logsumexp,0.35743701550387597,0.9090391397476196,0.9916709661483765,0.09062763303518295,True,True,True,True,
21,go_strict,8,0.7,0,logsumexp,0.3074127906976744,0.9062140583992004,0.9835221171379089,0.11174461245536804,True,True,True,True,
22,quality_only_high_work,8,0.3,0,logsumexp,0.7070009689922481,0.9343019723892212,0.9923608303070068,0.08909597247838974,False,False,False,True,
23,conditional_relaxed,8,0.5,0,logsumexp,0.5038759689922481,0.857486367225647,0.9842150807380676,0.14134418964385986,False,False,True,False,
