layer,group_size,ambiguity_mode,target_sparsity,aggregation,exact_match,mismatch_count,valid_tiles,selected_tiles,row_certification_rate,ambiguous_rate,fallback_rate,mean_interval_width,p50_interval_width,p90_interval_width,p99_interval_width,selected_ambiguous_rate,rejected_ambiguous_rate,boundary_band_size_mean,boundary_band_size_p90,certified_keep_rate,certified_drop_rate,mean_margin_to_boundary,p10_margin_to_boundary,score_interval_width_over_margin_p50,score_interval_width_over_margin_p90
3,16,partition,0.75,logsumexp,True,0,115584,29568,0.12053571428571429,0.15305751661129569,0.15305751661129569,0.5620706081390381,0.5904998779296875,0.7381572127342224,0.9373248815536499,0.26931141774891776,0.1130952380952381,1263.6429443359375,1653.0999755859375,0.7306885822510822,0.8869047619047619,inf,0.36311930418014526,0.2670278251171112,1.5291122198104858
3,16,threshold,0.75,logsumexp,True,0,115584,29568,0.12053571428571429,0.08843784606866002,0.08843784606866002,0.5620706081390381,0.5904998779296875,0.7381572127342224,0.9373248815536499,0.18367830086580086,0.055698939732142856,730.1428833007812,933.0999755859375,0.8163216991341992,0.9443010602678571,inf,0.36311930418014526,0.2670278251171112,1.5291122198104858
8,16,partition,0.75,logsumexp,True,0,115584,29568,0.10602678571428571,0.526595376522702,0.526595376522702,4.390377044677734,2.6890861988067627,7.52617073059082,22.84975814819336,0.56348079004329,0.513916015625,4347.57177734375,8242.400390625,0.43651920995670995,0.486083984375,inf,0.39422693848609924,1.140627384185791,8.9254732131958
8,16,threshold,0.75,logsumexp,True,0,115584,29568,0.10602678571428571,0.3856070044296788,0.3856070044296788,4.390377044677734,2.6890861988067627,7.52617073059082,22.84975814819336,0.4737892316017316,0.3552943638392857,3183.571533203125,6734.89990234375,0.5262107683982684,0.6447056361607143,inf,0.39422693848609924,1.140627384185791,8.9254732131958
12,16,partition,0.65,logsumexp,True,0,115584,41314,0.11216517857142858,0.14528827519379844,0.14528827519379844,0.40937644243240356,0.4098355770111084,0.5694865584373474,0.7337742447853088,0.1893789030352907,0.12076208428706073,1199.5,1444.9000244140625,0.8106210969647093,0.8792379157129393,inf,0.26241251826286316,0.26981115341186523,1.441447377204895
12,16,threshold,0.65,logsumexp,True,0,115584,41314,0.11216517857142858,0.0840687292358804,0.0840687292358804,0.40937644243240356,0.4098355770111084,0.5694865584373474,0.7337742447853088,0.12978651304642494,0.058637404066244785,694.0714721679688,818.2999877929688,0.870213486953575,0.9413625959337553,inf,0.26241251826286316,0.26981115341186523,1.441447377204895
13,16,partition,0.75,logsumexp,True,0,115584,29568,0.15848214285714285,0.11241175249169436,0.11241175249169436,0.44352149963378906,0.446765661239624,0.5570125579833984,0.6485456228256226,0.20535714285714285,0.08046177455357142,928.0714721679688,1168.199951171875,0.7946428571428571,0.9195382254464286,inf,0.38945168256759644,0.20576111972332,1.1174196004867554
13,16,threshold,0.75,logsumexp,True,0,115584,29568,0.15848214285714285,0.06711136489479513,0.06711136489479513,0.44352149963378906,0.446765661239624,0.5570125579833984,0.6485456228256226,0.14857278138528138,0.03910900297619048,554.0714721679688,663.5999755859375,0.8514272186147186,0.9608909970238095,inf,0.38945168256759644,0.20576111972332,1.1174196004867554
16,16,partition,0.75,logsumexp,True,0,115584,29568,0.16908482142857142,0.10071463178294573,0.10071463178294573,0.6186754703521729,0.596160888671875,0.8887389898300171,1.1319383382797241,0.17918019480519481,0.07374209449404762,831.5000610351562,1103.0,0.8208198051948052,0.9262579055059523,inf,0.5709600448608398,0.18871349096298218,0.9927937388420105
16,16,threshold,0.75,logsumexp,True,0,115584,29568,0.16908482142857142,0.06014673311184939,0.06014673311184939,0.6186754703521729,0.596160888671875,0.8887389898300171,1.1319383382797241,0.13487554112554112,0.034458705357142856,496.5714416503906,621.3999633789062,0.8651244588744589,0.9655412946428571,inf,0.5709600448608398,0.18871349096298218,0.9927937388420105
20,16,partition,0.65,logsumexp,True,0,115584,41314,0.09709821428571429,0.21495189645625692,0.21495189645625692,0.43427231907844543,0.4356350898742676,0.548128068447113,0.6355717778205872,0.28230139904148716,0.1774875454423051,1774.6429443359375,2259.099853515625,0.7176986009585129,0.822512454557695,inf,0.20160652697086334,0.38821136951446533,2.1435115337371826
20,16,threshold,0.65,logsumexp,True,0,115584,41314,0.09709821428571429,0.11824300941306755,0.11824300941306755,0.43427231907844543,0.4356350898742676,0.548128068447113,0.6355717778205872,0.17730067289538656,0.08539114043355325,976.21435546875,1216.9000244140625,0.8226993271046135,0.9146088595664468,inf,0.20160652697086334,0.38821136951446533,2.1435115337371826
