layer,mean_interval_width,p90_interval_width,p99_interval_width
0,6.60832405090332,12.17104434967041,20.937828063964844
1,1.841170072555542,5.447622299194336,6.132421016693115
3,0.33847033977508545,0.44375184178352356,0.5808185338973999
4,0.32301628589630127,0.45428407192230225,0.6107585430145264
5,0.25228872895240784,0.3163720369338989,0.36550095677375793
6,0.2220858484506607,0.3081442713737488,0.3512057662010193
7,0.29961922764778137,0.3938310444355011,0.4807041883468628
8,1.2148405313491821,1.6565150022506714,9.573671340942383
9,0.4071368873119354,0.6492899060249329,0.8842793703079224
10,0.2814832925796509,0.36799028515815735,0.43304935097694397
11,0.3926253020763397,0.6128964424133301,0.8051890134811401
12,0.2573438286781311,0.3574711084365845,0.48292219638824463
13,0.32291558384895325,0.411833256483078,0.4856962263584137
14,0.27779847383499146,0.35316216945648193,0.4022422432899475
15,0.30089879035949707,0.40100425481796265,0.5668405890464783
16,0.47441619634628296,0.6838675737380981,0.879642903804779
17,0.27359816431999207,0.32937198877334595,0.3774063289165497
18,0.25542619824409485,0.3031856417655945,0.38951730728149414
19,0.289475679397583,0.3532114624977112,0.4181317389011383
20,0.27105292677879333,0.3406829833984375,0.3928512632846832
21,0.2973576784133911,0.38804367184638977,0.46025609970092773
22,0.2176789790391922,0.28550881147384644,0.35126328468322754
23,0.23634517192840576,0.31100234389305115,0.6018549799919128
