layer,attention_work_fraction,indexer_fp_fallback_fraction,indexer_proxy_c025,indexer_proxy_c050,runtime_path
0,0.5038759689922481,0.7453367248062015,0.8090025436046511,0.8726683624031008,aglr_certimask_lowbit_high_fallback
1,0.5038759689922481,0.4228959025470653,0.567171926910299,0.7114479512735327,aglr_certimask_lowbit_high_fallback
2,0.5039970930232558,1.0,1.0,1.0,unsupported_aggregation_fp_reference
3,0.2558139534883721,0.09022009966777408,0.31766507475083056,0.545110049833887,aglr_certimask_lowbit
4,0.5038759689922481,0.16838835825027684,0.3762912686877076,0.5841941791251384,aglr_certimask_lowbit
5,0.5038759689922481,0.17277477851605758,0.37958108388704315,0.5863873892580288,aglr_certimask_lowbit
6,0.5038759689922481,0.14220826411960133,0.356656198089701,0.5711041320598007,aglr_certimask_lowbit
7,0.2558139534883721,0.0692483388704319,0.30193625415282394,0.534624169435216,aglr_certimask_lowbit
8,0.2558139534883721,0.21503841362126247,0.41127881021594687,0.6075192068106312,aglr_certimask_lowbit
9,0.2558139534883721,0.09315303156146179,0.31986477367109634,0.5465765157807309,aglr_certimask_lowbit
10,0.5038759689922481,0.15653550664451826,0.3674016299833887,0.5782677533222591,aglr_certimask_lowbit
11,0.3074127906976744,0.09353370708748615,0.3201502803156146,0.5467668535437431,aglr_certimask_lowbit
12,0.35743701550387597,0.09184662236987819,0.31888496677740863,0.5459233111849391,aglr_certimask_lowbit
13,0.2558139534883721,0.08178467607973422,0.31133850705980065,0.5408923380398671,aglr_certimask_lowbit
14,0.3074127906976744,0.10209025470653378,0.32656769102990035,0.5510451273532669,aglr_certimask_lowbit
15,0.3074127906976744,0.09166493632336656,0.31874870224252494,0.5458324681616833,aglr_certimask_lowbit
16,0.2558139534883721,0.07700027685492802,0.307750207641196,0.538500138427464,aglr_certimask_lowbit
17,0.3074127906976744,0.11566479789590255,0.3367485984219269,0.5578323989479512,aglr_certimask_lowbit
18,0.2558139534883721,0.0922359496124031,0.3191769622093023,0.5461179748062015,aglr_certimask_lowbit
19,0.2558139534883721,0.08653446843853821,0.31490085132890366,0.5432672342192691,aglr_certimask_lowbit
20,0.35743701550387597,0.13372093023255813,0.35029069767441856,0.5668604651162791,aglr_certimask_lowbit
21,0.3074127906976744,0.12132302048726468,0.3409922653654485,0.5606615102436323,aglr_certimask_lowbit
22,0.7070009689922481,0.10755813953488372,0.33066860465116277,0.5537790697674418,aglr_certimask_lowbit_quality_only_high_attention_work
23,0.5038759689922481,0.12467123477297896,0.3435034260797342,0.5623356173864895,aglr_certimask_lowbit
